#,SRO_Schedule_Code,Description
1,S1000012,FED 1st Schedule
2,S1000047,946(I)/2013
3,S1000055,572(I)/2014
4,S1000056,898(I)/2013
5,S1000058,549(I)/2008
6,S1000059,646(I)/2005
7,S1000061,863(I)/2007
8,S1000062,Zero Rated Elec.
9,S1000063,Zero Rated Gas
10,S1000065,Section 4(b)
11,S1000066,670(I)/2013
12,S1000067,1007(I)/2005
13,S1000068,164(I)/2010
14,S1000069,172(I)/2006
15,S1000070,326(I)/2008
16,S1000071,408(I)/2012
17,S1000072,539(I)/2008
18,S1000073,542(I)/2008
19,S1000074,551(I)/2008
20,S1000075,727(I)/2011
21,S1000076,76(I)/2008
22,S1000077,880(I)/2007
23,S1000080,FED 3rd Schedule Table I
24,S1000081,FED 3rd Schedule Table II
25,S1000082,525(I)/2008
26,S1000083,811(I)/2009
27,S1000084,802(I)/2009
28,S1000085,678(I)/2004
29,S1000086,760(I)/2012
30,S1000087,499(I)/2013
31,S1000088,501(I)/2013
32,S1000089,896(I)/2013
33,S1000090,DTRE
34,S1000095,342(I)/2002
35,S1000096,188(I)/2015
36,S1000100,213(I)/2013
37,S1000106,327(I)/2008
38,S1000107,484(I)/2015
39,S1000118,1180(I)/2016
40,S1000119,21(I)/2017
41,S1000120,91(I)/2017
42,S1000121,125(I)/2017
43,S1000122,223(I)/2017
44,S1000123,408(I)/2017
45,S1000124,581(I)/2017
46,S1000126,608(I)/2012
47,S1000127,79(I)/2012
48,S1000128,657(I)/2013
49,S1000130,398(I)/2015
50,S1000335,292(I)/2017
51,S1000345,867(I)/2017
52,S1000346,757(I)/2017
53,S1000347,713(I)/2017
54,S1000349,984(I)/2017
55,S1000350,641(I)/2017
56,S1000352,781(I)2018
57,S1000353,777(I)2018
58,S1000358,1167(I)/2018
59,S1000359,1308(I)/2018
60,S1000360,1125(I)/2011
61,S1000362,253(I)/2019
62,S1000371,8th Schedule Table II
63,S1000383,6th Schedule Table I
64,S1000384,6th Schedule Table II
65,S1000387,5th Schedule
66,S1000390,495(I)/2016
67,S1000394,3rd Schedule
68,S1000395,590(I)/2017
69,S1000396,Section 49
70,S1000397,587(I)/2017
71,S1000398,237(I)/2020
72,S1000399,6th Schedule Table III
73,S1000404,1450(I)/2021
74,S1000408,1579(1)/2021
75,S1000412,1604(I)/2021
76,S1000416,01(I)/2022
77,S1000420,88(I)/2022
78,S1000424,183(I)/2022
79,S1000429,321(I)/2022
80,S1000431,ICTO Table II
81,S1000433,1212(I)/2018
82,S1000441,1636(1)/2022
83,S1000446,9th Schedule
84,S1000449,297(I)/2023-Table-II
85,S1000450,297(I)/2023-Table-I
86,S1000451,8th Schedule Table I
87,S1000452,ICTO Table I
